Fecha,Último,Apertura,Máximo,Mínimo,Vol,% var
Sep 2019,17720,17900,18700,17300,-,-1.56%
Ago 2019,18000,16820,18000,15120,6.67M,7.02%
Jul 2019,16820,17160,18260,16820,3.21M,-2.77%
Jun 2019,17300,17260,17600,16400,4.51M,-0.12%
May 2019,17320,18100,18300,16040,5.02M,-5.87%
Abr 2019,18400,18180,18620,17000,3.31M,1.66%
Mar 2019,18100,18100,18780,17260,6.55M,1.00%
Feb 2019,17920,18540,18660,17360,4.09M,-3.45%
Ene 2019,18560,16600,18940,16600,7.25M,9.82%
Dic 2018,16900,16140,17300,15900,5.46M,4.45%
Nov 2018,16180,15260,16400,14980,7.38M,7.87%
Oct 2018,15000,16460,16680,14380,25.56M,-7.98%
Sep 2018,16300,19100,19160,15580,4.91M,-14.66%
Ago 2018,19100,19400,19900,18480,7.30M,-1.55%
Jul 2018,19400,19860,19940,18700,2.82M,-2.32%
Jun 2018,19860,19560,19860,18900,5.56M,2.27%
May 2018,19420,20000,20000,18460,3.87M,-2.90%
Abr 2018,20000,19300,20400,18940,6.75M,6.27%
Mar 2018,18820,19300,19560,18440,4.24M,-2.59%
Feb 2018,19320,21160,21300,19320,4.04M,-6.40%
Ene 2018,20640,20840,21400,20200,3.53M,-1.15%
Dic 2017,20880,20480,20880,20140,6.66M,1.95%
Nov 2017,20480,19920,20500,19100,3.02M,3.23%
Oct 2017,19840,21120,21160,19840,4.51M,-6.06%
