Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,7.800000,7.940000,7.070000,7.070000,6.440903,1648700
2017-11-01,7.050000,7.890000,6.730000,7.700000,7.114349,2116500
2017-12-01,7.700000,8.290000,7.560000,8.030000,7.419249,1484200
2018-01-01,7.960000,8.470000,7.740000,8.180000,7.557841,1311500
2018-02-01,8.100000,9.760000,7.790000,9.350000,8.638853,5483000
2018-03-01,9.380000,9.740000,8.450000,8.470000,7.825784,3098600
2018-04-01,8.430000,9.300000,8.030000,8.170000,7.548601,2136400
2018-05-01,8.170000,8.250000,7.420000,7.540000,6.966519,2196800
2018-06-01,7.550000,7.760000,6.340000,6.460000,5.968662,3514400
2018-07-01,6.410000,6.840000,6.180000,6.520000,6.024098,1597000
2018-08-01,6.570000,6.640000,5.270000,5.460000,5.152653,2800200
2018-09-01,5.460000,5.990000,5.120000,5.620000,5.361776,1642400
2018-10-01,5.630000,5.790000,4.960000,5.010000,4.833510,1140200
2018-11-01,5.000000,5.610000,4.690000,5.050000,4.872101,1433200
2018-12-01,5.300000,5.510000,3.610000,4.060000,3.916976,2273400
2019-01-01,4.070000,4.840000,4.070000,4.640000,4.476544,715100
2019-02-01,4.580000,5.100000,4.460000,4.830000,4.659851,1788900
2019-03-01,4.830000,4.900000,3.950000,4.100000,3.955567,1995600
2019-04-01,4.070000,4.370000,3.640000,3.730000,3.598601,2094200
2019-05-01,3.730000,4.290000,2.880000,3.650000,3.521420,7375600
2019-06-01,3.670000,3.900000,3.350000,3.880000,3.787515,1709500
2019-07-01,3.940000,4.410000,3.660000,3.990000,3.894892,2265400
2019-08-01,4.000000,4.070000,2.550000,2.680000,2.616118,3828800
2019-09-01,2.740000,3.350000,2.550000,2.960000,2.918141,3380100
