Fecha,Último,Apertura,Máximo,Mínimo,Vol,% var
Sep 2019,26940,25840,27000,25840,-,2.43%
Ago 2019,26300,26780,26980,25240,1.03M,-2.66%
Jul 2019,27020,24900,27500,24620,2.75M,8.51%
Jun 2019,24900,23340,25500,22900,1.29M,6.68%
May 2019,23340,25000,25180,21800,2.89M,-7.23%
Abr 2019,25160,26100,26500,24000,1.72M,-5.06%
Mar 2019,26500,24700,27000,24400,2.63M,8.16%
Feb 2019,24500,19020,24720,19000,2.56M,28.95%
Ene 2019,19000,16400,19820,15900,2.19M,15.85%
Dic 2018,16400,18600,18700,16020,3.06M,-12.30%
Nov 2018,18700,19700,21800,16900,2.66M,-5.08%
Oct 2018,19700,22000,22600,19700,2.22M,-10.45%
Sep 2018,22000,24500,24500,21800,2.42M,-9.02%
Ago 2018,24180,24080,24900,23820,2.19M,1.77%
Jul 2018,23760,25465.9,25465.9,23760,1.18M,-6.18%
Jun 2018,25326.2,25445.9,25944.9,24168.7,1.87M,0.95%
May 2018,25086.7,24128.7,25665.5,22771.6,2.45M,4.06%
Abr 2018,24108.8,23550,24807.3,23450.2,2.50M,1.51%
Mar 2018,23749.5,24048.9,24328.3,22152.9,1.80M,-1.82%
Feb 2018,24188.6,26862.9,27082.5,23450.2,1.23M,-9.82%
Ene 2018,26823,28719,29437.5,26823,1.65M,-7.95%
Dic 2017,29138.1,29098.2,29217.9,28539.4,1.29M,0.27%
Nov 2017,29058.3,28459.5,29138.1,28100.3,1.47M,1.82%
Oct 2017,28539.4,28719,29537.2,28439.6,2.12M,-0.28%
