Fecha,Último,Apertura,Máximo,Mínimo,Vol,% var
Sep 2019,5227.3,5063.54,5240.71,5061.58,-,3.23%
Ago 2019,5063.54,4984.8,5098.89,4875.95,-,-0.44%
Jul 2019,5086.04,5026.61,5246.27,5003.18,-,1.18%
Jun 2019,5026.61,4763.13,5070.96,4761.52,-,5.53%
May 2019,4763.13,5016.85,5016.85,4659.62,-,-5.06%
Abr 2019,5016.85,5127.52,5274.53,5016.85,-,-2.65%
Mar 2019,5153.2,4782.04,5306.71,4773.82,-,8.04%
Feb 2019,4769.89,4532.67,4815.05,4532.67,-,6.49%
Ene 2019,4479.21,4166.29,4486.99,4166.29,-,8.57%
Dic 2018,4125.77,4468.91,4478.61,4036.03,-,-5.10%
Nov 2018,4347.3,4416.25,4598.57,4347.3,-,-2.36%
Oct 2018,4452.41,4821.98,4859.85,4416.52,-,-6.79%
Sep 2018,4776.82,4719.82,4776.82,4540.49,-,0.86%
Ago 2018,4736.02,4708.55,4770.1,4629.95,-,1.85%
Jul 2018,4650.1,4831.5,4831.5,4636.36,-,-3.75%
Jun 2018,4831.5,4786.58,4831.5,4614.7,-,2.05%
May 2018,4734.54,4774.74,4848.36,4647.71,-,-0.84%
Abr 2018,4774.74,4405.94,4842.24,4405.94,-,10.01%
Mar 2018,4340.44,4385.72,4462.55,4323.73,-,-2.00%
Feb 2018,4428.83,4788.22,4788.22,4428.83,-,-6.19%
Ene 2018,4720.96,4512.33,4829.6,4512.33,-,5.07%
Dic 2017,4493.36,4238.69,4493.36,4220.37,-,6.34%
Nov 2017,4225.36,4228.72,4262.76,4146.04,-,0.95%
Oct 2017,4185.44,4419.62,4438.36,4185.44,-,-5.16%
Sep 2017,4413.1,4448.02,4481.04,4400.4,-,-0.04%
