Date,Price,Open,High,Low,Vol.,Change %
Sep 19,3565,3100,3565,3100,-,1500%
Aug 19,3100,3100,3135,3015,152M,000%
Jul 19,3100,2665,3150,2665,321M,1610%
Jun 19,2670,2380,2695,2380,171M,1410%
May 19,2340,2300,2400,2300,139M,174%
Apr 19,2300,2190,2305,2180,211M,455%
Mar 19,2200,1800,2200,1800,172M,2222%
Feb 19,1800,2015,2050,1800,120M,-1045%
Jan 19,2010,2045,2045,1980,74951K,-171%
Dec 18,2045,2000,2050,1900,70877K,225%
Nov 18,2000,2020,2020,1900,38699K,025%
Oct 18,1995,2080,2080,1850,95685K,-316%
Sep 18,2060,2290,2300,2060,24517K,-700%
Aug 18,2215,2250,2315,2025,78790K,-732%
Jul 18,2390,2340,2390,2200,35558K,214%
Jun 18,2340,2375,2415,2320,47096K,130%
May 18,2310,2340,2395,2305,43521K,043%
Apr 18,2300,2375,2400,2300,57933K,-417%
Mar 18,2400,2400,2450,2300,46478K,000%
Feb 18,2400,2460,2495,2400,50053K,-204%
Jan 18,2450,2530,2540,2375,98830K,-316%
Dec 17,2530,2545,2545,2420,80268K,-020%
Nov 17,2535,2530,2590,2455,68401K,140%
Oct 17,2500,2555,2585,2460,90715K,-215%
Sep 17,2555,2640,2675,2540,115M,-322%
