Date,Price,Open,High,Low,Vol.,Change %
Sep 17,7200,6000,7240,6000,1.46M,20.00%
Oct 17,8060,7250,8990,6900,10.35M,11.94%
Nov 17,7950,7610,8000,7200,602.07K,-1.36%
Dec 17,7960,7950,8000,7650,152.64K,0.13%
Jan 18,7110,7960,7960,7110,144.82K,-10.68%
Feb 18,7400,7520,7520,7200,259.64K,4.08%
Mar 18,7690,7400,7690,7310,170.95K,3.92%
Apr 18,7400,7500,7690,7350,441.79K,-3.77%
May 18,7780,7370,7800,7060,296.00K,5.14%
Jun 18,7710,7770,7790,7650,317.39K,-0.90%
Jul 18,7140,7500,7710,7140,281.67K,-7.39%
Aug 18,7040,7390,7760,6700,649.69K,-1.40%
Sep 18,6840,7040,7380,6540,206.49K,-2.84%
Oct 18,5230,6840,7000,5230,3.55M,-23.54%
Nov 18,5260,5230,5800,5200,9.23M,0.57%
Dec 18,5380,5440,5500,5000,494.46K,2.28%
Jan 19,5600,5390,5600,5300,149.89K,4.09%
Feb 19,5400,5400,5600,5300,102.41K,-3.57%
Mar 19,5390,5200,5470,5200,500.52K,-0.19%
Apr 19,6000,5370,6180,5370,1.24M,11.32%
May 19,6000,6000,6000,5940,207.90K,0.00%
Jun 19,6000,6000,6100,5970,885.53K,0.00%
Jul 19,7100,6010,7200,6000,4.08M,18.33%
Aug 19,7180,7120,7180,6910,249.21K,1.13%
Sep 19,8400,7200,8500,7200,-,16.99%
